企業名,URL,タグ
オカダビル株式会社,https://www.aidma-hd.jp/case/zirei-301/,"NEW, Sales Platform, セールススクール, クラプロ, 〜10人未満, 営業の仕組み化, 営業組織構築, コンサルティング, 小売・卸売"
KGホールディングス株式会社,https://www.aidma-hd.jp/case/zirei-300/,"Sales Platform, 〜10人未満, 人材不足, 売り上げUP, 小売・卸売, 製造"
株式会社ロボカル,https://www.aidma-hd.jp/case/zirei-298/,"Sales Platform, 〜10人未満, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 人材"
株式会社トシマパッケージ,https://www.aidma-hd.jp/case/zirei-295/,"Sales Platform, クラプロ, 〜10人未満, 問い合わせ数UP, 営業の仕組み化, 商社"
有限会社ランテクノロジー,https://www.aidma-hd.jp/case/zirei-294/,"Sales Platform, 〜10人未満, 人材不足, 業務効率化, 小売・卸売, 機械, 製造"
有限会社福田商店,https://www.aidma-hd.jp/case/zirei-293/,"Sales Platform, 10〜50人, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 小売・卸売, 製造"
株式会社まちあい徳山,https://www.aidma-hd.jp/case/zirei-285/,"Sales Platform, 〜10人未満, 人材不足, 問い合わせ数UP, 営業の仕組み化, コンサルティング, 小売・卸売, 広告・制作"
株式会社スクラム,https://www.aidma-hd.jp/case/zirei-284/,"Sales Platform, 〜10人未満, 人材不足, 営業の仕組み化, 営業組織構築, 広告・制作"
株式会社エヌ・エス・ケー,https://www.aidma-hd.jp/case/zirei-279/,"Sales Platform, 〜10人未満, アポイント率UP, 営業の仕組み化, 新規開拓, 業務効率化, 小売・卸売, 食品"
株式会社トータルフロー,https://www.aidma-hd.jp/case/zirei-275/,"Sales Platform, 10〜50人, 人材不足, 売り上げUP, コンサルティング, ブライダル, レジャー・観光・宿泊, 飲食"
株式会社テクノライズ,https://www.aidma-hd.jp/case/zirei-270/,"Sales Platform, クラプロ, 10〜50人, 売り上げUP, 業務効率化, 人材, 機械関連サービス"
株式会社カイノスパートナーズ,https://www.aidma-hd.jp/case/zirei-269/,"Sales Platform, 〜10人未満, 問い合わせ数UP, 営業組織構築, 売り上げUP, コンサルティング"
株式会社インサイド,https://www.aidma-hd.jp/case/zirei-268/,"Sales Platform, 51～100人, 市場調査, 業務効率化, 製造"
有限会社四国フード,https://www.aidma-hd.jp/case/zirei-267/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業組織構築, 売り上げUP, 業務効率化, 小売・卸売"
株式会社笠盛,https://www.aidma-hd.jp/case/zirei-262/,"Sales Platform, mama works, 10〜50人, 人材不足, 問い合わせ数UP, 売り上げUP, 業務効率化, 小売・卸売, 製造"
鵜飼鋼材販売株式会社,https://www.aidma-hd.jp/case/zirei-261/,"Sales Platform, 10〜50人, アポイント率UP, 人材不足, 問い合わせ数UP, 売り上げUP, 業務効率化, 小売・卸売, 製造"
芙蓉交通株式会社,https://www.aidma-hd.jp/case/zirei-254/,"Sales Platform, 10〜50人, 人材不足, 人材採用, 自動車運送事業・タクシー業"
株式会社平光製作所,https://www.aidma-hd.jp/case/zirei-253/,"Sales Platform, 10〜50人, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 売り上げUP, 製造"
株式会社アサップシステム,https://www.aidma-hd.jp/case/zirei-252/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 売り上げUP, 機械"
株式会社仙南測量設計,https://www.aidma-hd.jp/case/zirei-245/,"Sales Platform, 10〜50人, アポイント率UP, 問い合わせ数UP, 営業の仕組み化, 売り上げUP, コンサルティング, 測量調査、土木設計"
株式会社シード・アドバンス,https://www.aidma-hd.jp/case/zirei-244/,"Sales Platform, 10〜50人, 問い合わせ数UP, 営業組織構築, 売り上げUP, 業務効率化, 塗装業"
シャッターセンター株式会社,https://www.aidma-hd.jp/case/zirei-243/,"Sales Platform, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 売り上げUP, 各種シャッター・アルミ製品　販売施工"
株式会社フィルムラボ,https://www.aidma-hd.jp/case/zirei-237/,"Sales Platform, Keypersons, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, 広告・制作"
株式会社西河マネジメントセンター,https://www.aidma-hd.jp/case/zirei-236/,"Sales Platform, Keypersons, Crowd Members, ベンチャーCXOサミット, 〜10人未満, アポイント率UP, 人材不足, 問い合わせ数UP, 営業の仕組み化, 営業組織構築, 売り上げUP, 業務効率化, コンサルティング"
